Name,Last,High,Low,Chg.,Chg. %,Vol.,Time
MercadoLibre,"1,500.00",n/a,n/a,n/a,n/a,n/a,n/a
YPF Sociedad Anonima,16.77,n/a,n/a,n/a,n/a,n/a,n/a
Grupo Supervielle,3.7,n/a,n/a,n/a,n/a,n/a,n/a
BBVA Argentina,5.16,n/a,n/a,n/a,n/a,n/a,n/a
Grupo Financiero Galicia ADR,16.78,n/a,n/a,n/a,n/a,n/a,n/a
Banco Macro B ADR,27.56,n/a,n/a,n/a,n/a,n/a,n/a
Loma Negra ADR,6.87,n/a,n/a,n/a,n/a,n/a,n/a
Transportadora Gas ADR,14.95,n/a,n/a,n/a,n/a,n/a,n/a
IRSA ADR,8.12,n/a,n/a,n/a,n/a,n/a,n/a
Telecom Argentina ADR,6.97,n/a,n/a,n/a,n/a,n/a,n/a
Despegar.com,8.94,n/a,n/a,n/a,n/a,n/a,n/a
Pampa Energia ADR,48.49,n/a,n/a,n/a,n/a,n/a,n/a
Central Puerto,8.82,n/a,n/a,n/a,n/a,n/a,n/a
Cresud SACIF,9.09,n/a,n/a,n/a,n/a,n/a,n/a
Edenor ADR,19.34,n/a,n/a,n/a,n/a,n/a,n/a
Bioceres Crop,13.48,n/a,n/a,n/a,n/a,n/a,n/a
