"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"Grupo Supervielle","9.635","10.165","9.480","-0.465","-4.60%","1.6M","15:59:59"
"Grupo Financiero Galicia ADR","46.380","47.800","46.020","-1.080","-2.28%","1.45M","15:59:59"
"YPF Sociedad Anonima","30.800","31.700","30.600","-0.810","-2.56%","1.44M","15:59:59"
"BBVA Argentina","14.840","15.270","14.610","-0.260","-1.72%","998.61K","15:59:59"
"Banco Macro B ADR","63.14","66.41","62.51","-3.11","-4.69%","661.59K","15:59:59"
"Transportadora Gas ADR","25.750","25.995","25.405","-0.230","-0.89%","269.35K","15:59:59"
"MercadoLibre","2,405.15","2,408.78","2,367.66","15.15","0.63%","209.83K","15:59:59"
"Loma Negra ADR","10.410","10.795","10.370","-0.280","-2.62%","197.35K","15:59:59"
"IRSA ADR","14.530","14.680","14.300","-0.020","-0.14%","163.64K","15:59:59"
"Pampa Energia ADR","70.33","73.23","70.16","-2.12","-2.93%","159.62K","15:59:59"
"Central Puerto","11.280","11.440","11.160","-0.070","-0.62%","135.51K","15:59:59"
"Edenor ADR","24.590","25.410","24.250","-0.630","-2.50%","133.59K","15:59:59"
"Cresud SACIF","10.880","10.940","10.670","0.070","0.65%","132.54K","15:59:59"
"Telecom Argentina ADR","8.955","9.235","8.830","-0.135","-1.49%","95.84K","15:59:59"
"Bioceres Crop","3.81","3.91","3.79","-0.08","-2.06%","41.37K","15:59:59"
