"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"MercadoLibre","1,641.87","1,660.11","1,577.00","-176.11","-9.69%","1.31M","13:06:44"
"YPF Sociedad Anonima","18.125","18.162","17.640","0.075","0.42%","1.21M","13:06:09"
"Grupo Supervielle","4.320","4.370","4.185","0.040","0.93%","653.13K","13:03:04"
"BBVA Argentina","6.241","6.270","5.970","0.201","3.33%","525.46K","13:05:32"
"Grupo Financiero Galicia ADR","22.190","22.190","21.230","0.680","3.16%","442.8K","13:06:09"
"Banco Macro B ADR","36.31","36.56","34.64","1.12","3.18%","194.87K","13:05:31"
"Loma Negra ADR","6.751","6.932","6.710","-0.119","-1.73%","152.74K","13:03:13"
"Transportadora Gas ADR","14.430","14.470","13.980","0.230","1.62%","106.47K","13:05:37"
"IRSA ADR","8.550","9.020","8.430","-0.200","-2.29%","103.86K","13:04:13"
"Telecom Argentina ADR","7.890","7.905","7.580","-0.050","-0.63%","101.37K","13:04:31"
"Despegar.com","8.74","8.80","8.65","-0.08","-0.91%","71.18K","12:50:47"
"Pampa Energia ADR","44.40","44.40","43.11","0.80","1.83%","69.21K","12:56:22"
"Central Puerto","8.570","8.610","8.395","-0.050","-0.58%","59.21K","13:05:10"
"Cresud SACIF","8.240","8.415","8.210","-0.100","-1.20%","51.18K","13:00:43"
"Edenor ADR","18.725","19.240","18.472","-0.725","-3.73%","44.01K","12:37:40"
"Bioceres Crop","12.93","13.00","12.66","0.22","1.73%","28.96K","12:59:31"
