"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"YPF Sociedad Anonima","17.905","18.255","17.760","-0.135","-0.75%","1.95M","16:00:00"
"Grupo Supervielle","4.420","4.655","4.360","0.050","1.14%","1.4M","16:00:00"
"Grupo Financiero Galicia ADR","22.680","22.970","21.860","0.725","3.30%","1.03M","16:00:01"
"BBVA Argentina","6.330","6.510","6.190","0.140","2.26%","722.77K","15:59:59"
"Loma Negra ADR","6.615","6.800","6.500","-0.085","-1.27%","636.42K","16:00:00"
"MercadoLibre","1,610.13","1,667.83","1,600.45","-19.19","-1.18%","596.9K","16:00:01"
"Banco Macro B ADR","36.95","37.36","35.90","0.72","1.99%","288.09K","16:00:00"
"Cresud SACIF","8.280","8.373","8.010","0.070","0.85%","243.37K","16:00:01"
"Telecom Argentina ADR","7.880","8.000","7.730","0.050","0.64%","188.6K","15:59:59"
"Edenor ADR","18.180","19.340","17.950","-0.790","-4.16%","167.6K","16:00:00"
"Central Puerto","8.320","8.650","8.240","-0.160","-1.89%","160.25K","16:00:00"
"Pampa Energia ADR","43.41","45.54","43.28","-1.13","-2.54%","142.63K","16:00:00"
"IRSA ADR","8.450","8.700","8.350","-0.060","-0.71%","136.99K","16:00:00"
"Despegar.com","8.71","8.84","8.64","0.01","0.11%","122.94K","16:00:00"
"Transportadora Gas ADR","14.130","14.600","13.838","-0.260","-1.81%","112.02K","16:00:00"
"Bioceres Crop","13.09","13.19","13.00","-0.01","-0.08%","33.6K","15:59:59"
