"Name","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"YPF Sociedad Anonima","16.960","17.400","16.800","0.250","1.50%","3.03M","15:59:59"
"Grupo Supervielle","4.275","4.370","4.175","-0.035","-0.81%","668.7K","16:00:00"
"Loma Negra ADR","6.490","6.530","6.280","0.090","1.41%","543.86K","16:00:00"
"Grupo Financiero Galicia ADR","20.780","20.860","20.348","0.010","0.05%","516.67K","15:59:59"
"BBVA Argentina","5.720","5.830","5.650","-0.100","-1.72%","491.08K","15:59:59"
"Banco Macro B ADR","33.62","33.68","31.86","1.14","3.51%","380.2K","15:59:59"
"MercadoLibre","1,737.77","1,752.61","1,711.35","-2.24","-0.13%","308.57K","15:59:59"
"Central Puerto","8.380","8.620","8.272","-0.040","-0.48%","300.34K","16:00:00"
"Transportadora Gas ADR","13.200","13.592","13.010","-0.010","-0.08%","170.73K","15:59:59"
"Cresud SACIF","8.270","8.470","8.240","-0.130","-1.55%","147.12K","15:59:59"
"Despegar.com","8.55","8.61","8.47","0.00","0.00%","127.01K","16:00:00"
"IRSA ADR","8.540","8.850","8.400","-0.090","-1.04%","119.36K","15:59:59"
"Pampa Energia ADR","42.21","42.78","41.44","0.15","0.36%","114.89K","15:59:59"
"Telecom Argentina ADR","7.660","7.890","7.580","0.130","1.73%","59.36K","15:59:59"
"Bioceres Crop","12.85","13.11","12.82","-0.22","-1.68%","48.59K","16:00:01"
"Edenor ADR","19.070","19.200","18.600","-0.140","-0.73%","41.27K","15:59:59"
